n,date,eid,pages,location,url,note
151,פברואר 2009 18:47,1346069,1,scan (21).pdf p43,http://www.tapuz.co.il/blog/print.asp?EntryId=1346069,NEEDS RE-SCAN — page 2 of 2 missing
152,פברואר 2009 15:16,1346650,2,scan (21).pdf p45-47,http://www.tapuz.co.il/blog/print.asp?EntryId=1346650,
153,פברואר 2009 14:59,1347877,1,scan (21).pdf p49,http://www.tapuz.co.il/blog/print.asp?EntryId=1347877,
154,פברואר 2009 21:45,1348858,1,scan (21).pdf p51,http://www.tapuz.co.il/blog/print.asp?EntryId=1348858,
155,פברואר 2009 18:30,1349424,2,scan (21).pdf p53-55,http://www.tapuz.co.il/blog/print.asp?EntryId=1349424,
156,פברואר 2009 14:34,1350461,2,scan (21).pdf p57-59,http://www.tapuz.co.il/blog/print.asp?EntryId=1350461,
157,פברואר 2009 12:55,1351117,2,scan (21).pdf p61-63,http://www.tapuz.co.il/blog/print.asp?EntryId=1351117,
158,פברואר 2009 19:03,1351885,2,scan (21).pdf p65-67,http://www.tapuz.co.il/blog/print.asp?EntryId=1351885,
159,פברואר 2009 14:10,1353079,1,scan (21).pdf p69,http://www.tapuz.co.il/blog/print.asp?EntryId=1353079,"marker says 2p, 1 present in scan"
160,פברואר 2009 2:47,1354870,1,scan (21).pdf p71,http://www.tapuz.co.il/blog/print.asp?EntryId=1354870,
161,יוני 2009 3:34,1355558,1,scan (21).pdf p73,http://www.tapuz.co.il/blog/print.asp?EntryId=1355558,
162,יוני 2009 3:36,1357049,1,scan (21).pdf p75,http://www.tapuz.co.il/blog/print.asp?EntryId=1357049,
163,יוני 2009 3:37,1357707,1,scan (21).pdf p77,http://www.tapuz.co.il/blog/print.asp?EntryId=1357707,
164,יוני 2009 3:37,1358250,1,scan (21).pdf p79,http://www.tapuz.co.il/blog/print.asp?EntryId=1358250,
165,יוני 2009 3:38,1358618,1,scan (21).pdf p81,http://www.tapuz.co.il/blog/print.asp?EntryId=1358618,"marker says 2p, 1 present in scan"
166,יוני 2009 3:39,1359299,1,scan (21).pdf p83,http://www.tapuz.co.il/blog/print.asp?EntryId=1359299,
167,יוני 2009 3:40,1359894,1,scan (21).pdf p85,http://www.tapuz.co.il/blog/print.asp?EntryId=1359894,
168,יוני 2009 4:33,1467453,1,scan (22).pdf p1,http://www.tapuz.co.il/blog/print.asp?EntryId=1467453,
169,יוני 2009 4:33,1469765,1,scan (22).pdf p3,http://www.tapuz.co.il/blog/print.asp?EntryId=1469765,
170,יוני 2009 11:33,1480928,1,scan (22).pdf p5,http://www.tapuz.co.il/blog/print.asp?EntryId=1480928,
171,יוני 2009 11:33,1481672,1,scan (22).pdf p7,http://www.tapuz.co.il/blog/print.asp?EntryId=1481672,
172,יוני 2009 11:34,1482475,1,scan (22).pdf p9,http://www.tapuz.co.il/blog/print.asp?EntryId=1482475,
173,יוני 2009 11:37,1484917,1,scan (22).pdf p11,http://www.tapuz.co.il/blog/print.asp?EntryId=1484917,
174,יוני 2009 11:38,1486098,1,scan (22).pdf p13,http://www.tapuz.co.il/blog/print.asp?EntryId=1486098,
175,יוני 2009 11:50,1490679,1,scan (22).pdf p15,http://www.tapuz.co.il/blog/print.asp?EntryId=1490679,
176,יוני 2009 11:50,1491907,2,scan (22).pdf p17-19,http://www.tapuz.co.il/blog/print.asp?EntryId=1491907,
177,יוני 2009 11:51,1493434,1,scan (22).pdf p21,http://www.tapuz.co.il/blog/print.asp?EntryId=1493434,
178,יוני 2009 11:52,1498933,1,scan (22).pdf p23,http://www.tapuz.co.il/blog/print.asp?EntryId=1498933,
179,יוני 2009 11:53,1499566,1,scan (22).pdf p25,http://www.tapuz.co.il/blog/print.asp?EntryId=1499566,
180,אוגוסט 2009 11:31,1503844,1,scan (22).pdf p27,http://www.tapuz.co.il/blog/print.asp?EntryId=1503844,
181,אוגוסט 2009 15:04,1522153,1,scan (22).pdf p29,http://www.tapuz.co.il/blog/print.asp?EntryId=1522153,
182,אוגוסט 2009 16:12,1522252,1,scan (22).pdf p31,http://www.tapuz.co.il/blog/print.asp?EntryId=1522252,
